Populations,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
5,0.42119932174682617,0.49548864364624023,0.4147944450378418,0.3838784694671631,0.5228757858276367,0.48282504081726074,0.3622012138366699,0.3315427303314209,0.37645697593688965,0.34844422340393066
10,0.36287641525268555,0.34844207763671875,0.3493945598602295,0.3596665859222412,0.34907102584838867,0.3577260971069336,0.35050415992736816,0.35207128524780273,0.3480501174926758,0.35297441482543945
20,0.3915250301361084,0.39853906631469727,0.3949306011199951,0.40274667739868164,0.3996107578277588,0.404510498046875,0.4014418125152588,0.4027099609375,0.3973989486694336,0.39356350898742676
30,0.4541137218475342,0.4446415901184082,0.43939208984375,0.43988466262817383,0.43932199478149414,0.4443359375,0.4362936019897461,0.43581724166870117,0.4327843189239502,0.43732571601867676
40,0.4918994903564453,0.5289816856384277,0.48586130142211914,0.489438533782959,0.48499512672424316,0.4889376163482666,0.487865686416626,0.4934272766113281,0.487377405166626,0.48995137214660645
50,0.5409505367279053,0.5360550880432129,0.5384502410888672,0.5364866256713867,0.5365562438964844,0.5449984073638916,0.5334305763244629,0.5359699726104736,0.5369288921356201,0.5359325408935547
60,0.5866410732269287,0.5760223865509033,0.5855696201324463,0.5856990814208984,0.5792989730834961,0.5850391387939453,0.5855352878570557,0.583885669708252,0.5824613571166992,0.5796465873718262
70,0.6607441902160645,0.6323506832122803,0.6326322555541992,0.6341829299926758,0.6303012371063232,0.6305956840515137,0.6446905136108398,0.630744457244873,0.6341729164123535,0.6317195892333984
80,0.6807880401611328,0.6807820796966553,0.673649787902832,0.6777372360229492,0.67873215675354,0.6791446208953857,0.6731843948364258,0.6813526153564453,0.6773529052734375,0.6737713813781738
90,0.7392935752868652,0.8312509059906006,0.7207520008087158,0.756988525390625,0.7780463695526123,0.8554625511169434,0.761368989944458,0.7473435401916504,0.7478950023651123,0.7429800033569336
100,0.7913768291473389,0.7871766090393066,0.7934367656707764,0.7869381904602051,0.7879383563995361,0.7918331623077393,0.7855267524719238,0.7884511947631836,0.7884156703948975,0.7928543090820312
110,0.8405647277832031,0.8316857814788818,0.8406729698181152,0.8310239315032959,0.8465793132781982,0.8379595279693604,0.8389310836791992,0.8500051498413086,0.8371307849884033,0.8369593620300293
120,0.8806452751159668,0.8840794563293457,0.8816277980804443,0.8880674839019775,0.8816766738891602,0.9037833213806152,0.8790960311889648,0.8835697174072266,0.8905453681945801,0.890540599822998
