Generations,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
370,204.49130800865288,197.81976376558518,199.75093966018738,197.32668364296342,198.26796326442226,194.48736790820354,192.28647877071583,199.10739253865788,203.92339661060072,195.3281669095922
380,200.2502596826843,204.24213911331861,198.51064783539476,194.91228397546905,206.2110541851816,206.51571783720985,202.5226940123257,202.61614568575615,201.41634208513352,197.7398951099338
390,201.7852888463454,200.33666467523142,197.55219462004308,207.51287466286152,199.03469946028994,201.13443818936778,199.220692565595,199.93676001919462,200.3062768838804,197.3576580161514
400,198.70754925577737,206.70275696906464,197.4771611206425,199.2126086162371,202.06058549478803,203.16018926172566,197.55501682419813,194.1241617043865,204.8717037470825,200.36605391881247
410,201.1372334809487,198.89265049754022,200.36303978973905,200.91725474584132,203.2569977934738,195.8398370528769,200.33682054683825,197.95845865248066,197.07659488704385,195.98074883815886
420,199.7879767136054,204.3656496897045,205.11395543861093,194.74659664093565,197.7418737499115,204.62488645970373,206.9387131313511,195.03634988764756,205.4219119957795,202.28612321410947
430,197.6668251354769,203.98756236621466,204.32031937680745,199.25040706584772,196.93919495563406,204.96054292331712,201.136046397344,196.66906894085446,198.7056537236762,196.0643525604552
440,199.2885247136079,199.25412166674542,205.03166030916393,201.0170716972019,202.1318883030612,199.48196724821605,201.56101464590625,207.4983463414423,203.8934499220214,203.3069482168705
450,193.3607538283198,197.3677036079861,194.1268719298433,203.8663529328883,201.48062965587377,201.89313196840828,200.04680865042164,200.05184343420973,204.840234593404,200.8508429075322
460,205.81270028273087,214.49057355268312,194.96414090822148,203.84523808211992,202.97270914952338,206.82482347388907,201.9248764205151,200.1904017796004,203.39635860654897,201.97375100936432
470,199.44211691974272,198.41893460798076,203.63457011804238,200.79235410867597,198.23659196896165,202.2657376322125,203.60066184688307,202.28997378456762,203.8807400666673,202.61925850867968
480,199.18011712906372,198.90009048919296,201.843231948678,203.1148558920505,198.10042903540744,204.28823531283487,205.735361861541,202.3261511528026,199.33546250893986,204.32760598123474
490,194.80817486085277,201.03973519317663,198.53720419189972,204.0477576684784,198.29290059994526,202.99291863328514,197.25701844517195,200.06051966628527,194.74527351224546,198.39749199781735
500,197.98741520970458,202.84035302750266,203.24838931290202,195.44522461850838,195.8245629745074,199.5469214337406,203.85175801524971,202.75557045301483,202.11197979079125,200.17801808220352
