Generations,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Run_10
10,0.05137825012207031,0.04976916313171387,0.048120975494384766,0.04883217811584473,0.046584129333496094,0.04560208320617676,0.048590660095214844,0.046596527099609375,0.046067237854003906,0.04710245132446289
20,0.0696403980255127,0.07167339324951172,0.06611847877502441,0.06712841987609863,0.06561017036437988,0.07869553565979004,0.11266660690307617,0.12066912651062012,0.0858910083770752,0.0758671760559082
30,0.08663392066955566,0.0861670970916748,0.08808517456054688,0.08469176292419434,0.08426189422607422,0.0842132568359375,0.0841376781463623,0.08565664291381836,0.0852060317993164,0.0821526050567627
40,0.10789966583251953,0.10367679595947266,0.10666441917419434,0.10816311836242676,0.12847900390625,0.11287832260131836,0.10478019714355469,0.10516762733459473,0.10512900352478027,0.10419321060180664
50,0.12940001487731934,0.12278079986572266,0.125732421875,0.12372493743896484,0.12572741508483887,0.12221169471740723,0.12133932113647461,0.13175439834594727,0.12825608253479004,0.12225222587585449
60,0.14675211906433105,0.14140772819519043,0.1432666778564453,0.14323759078979492,0.14376354217529297,0.14474081993103027,0.1392836570739746,0.14178872108459473,0.141801118850708,0.14224767684936523
70,0.16941523551940918,0.16477084159851074,0.16127681732177734,0.1662898063659668,0.1583576202392578,0.1602950096130371,0.16577458381652832,0.1622753143310547,0.16328144073486328,0.16228389739990234
80,0.1859130859375,0.18381285667419434,0.1849045753479004,0.17881059646606445,0.18181228637695312,0.18383550643920898,0.18037199974060059,0.17981910705566406,0.18684887886047363,0.17989540100097656
90,0.20638418197631836,0.20846819877624512,0.21442151069641113,0.20960068702697754,0.20437932014465332,0.21094894409179688,0.2059178352355957,0.21038126945495605,0.20538616180419922,0.20233654975891113
100,0.23033809661865234,0.21992158889770508,0.21796512603759766,0.22666406631469727,0.23298430442810059,0.2336583137512207,0.22139739990234375,0.22090411186218262,0.22437834739685059,0.22503066062927246
110,0.24341678619384766,0.23801469802856445,0.24204754829406738,0.2495718002319336,0.2515685558319092,0.2519655227661133,0.2454662322998047,0.25150299072265625,0.25348663330078125,0.24956631660461426
120,0.27150702476501465,0.2610206604003906,0.26745128631591797,0.2790067195892334,0.2730386257171631,0.2735564708709717,0.4551365375518799,0.29952502250671387,0.34040403366088867,0.28965306282043457
130,0.294858455657959,0.2980778217315674,0.36168336868286133,0.3805248737335205,0.3047006130218506,0.42084169387817383,0.30516505241394043,0.28657054901123047,0.2866332530975342,0.28659915924072266
140,0.3090198040008545,0.3000912666320801,0.3020150661468506,0.30162858963012695,0.3005392551422119,0.30711865425109863,0.3041379451751709,0.2996480464935303,0.30051136016845703,0.2980227470397949
150,0.32710838317871094,0.32370662689208984,0.3210744857788086,0.32010912895202637,0.32305288314819336,0.32907724380493164,0.3215806484222412,0.32660531997680664,0.3181493282318115,0.3231208324432373
160,0.34409379959106445,0.33809733390808105,0.34215307235717773,0.3446071147918701,0.3507251739501953,0.34416890144348145,0.34610486030578613,0.34560680389404297,0.34064245223999023,0.34067654609680176
